Name,METADATA Attribute,Data Type,Key Type,Integration Object Name,Required,Lookup,Description
"Organization ID","OrganizationId","Number","Surrogate ID","Organization","Yes","","The application generated ID to identify this record. You cannot supply this ID for new records."
"Classification Name","ClassificationName","String","User Key","","No","","The name of the organization's classification."
"Organization","Name","String","User Key","","For new records","","The name of the organization. Supply the name in the language of the user that will be creating your new organization. The name can be translated."
"Effective End Date","EffectiveEndDate","Date","","","No","","The end date of the date-effective changes. If left blank, the effective end date is the end of time by default."
"Effective Start Date","EffectiveStartDate","Date","","","Yes","","The start date of the record or of date-effective changes to the record."
"Action Reason Code","ActionReasonCode","String","","","No","","The user defined code for the action reason."
"Classification Code","ClassificationCode","String","Foreign Object Reference","","For new records","","The code for the organization's classification. Alternatively the ClassificationName can be supplied."
"Establishment ID","EstablishmentId","Number","Foreign Object Reference","Establishment","No","","Only supply for organizations that have a legal reporting unit classification. A unique reference to the establishment for the legal reporting unit."
"Establishment Name","EstablishmentName","String","User Key","","No","","The establishment name. Only supply for organizations that have a Legal Reporting Unit classification."
"Internal Address Line","InternalAddressLine","String","","","No","","Internal address of the organization."
"Location Code","LocationCode","String","User Key","","No","","The code of the location for the organization."
"Location ID","LocationId","Number","Foreign Object Reference","Location","No","","A unique reference to the location of the organization."
"Location Set Code","LocationSetCode","String","User Key","","No","","The code of the set the location belong to."
"Title","Title","String","","","No","","The title of the organization."
"Source System ID","SourceSystemId","String","Source Key","","No","","A value to uniquely identify this record. This must be unique for the source system owner and business object component."
"Source System Owner","SourceSystemOwner","String","Source Key","","No","","The name of the source system used to generate the source system ID."
"Globally Unique ID","GUID","String","Globally Unique ID","","No","","The globally unique ID. Only available to reference existing records, it cannot be supplied for new records."
"Reference Context","SourceRefTableName","String","","","No","","The context for the user-defined references provided for this component. Don't supply values for this attribute, instead specify the context against this attribute in the METADATA line using the format: SourceRefTableName= context. For example: SourceRefTableName=Store Information."
"Reference 1","SourceRef001","String","","","No","","A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
"Reference 2","SourceRef002","String","","","No","","A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
"Reference 3","SourceRef003","String","","","No","","A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
"Reference 4","SourceRef004","String","","","No","","A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
"Reference 5","SourceRef005","String","","","No","","A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
"Reference 6","SourceRef006","String","","","No","","A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
"Reference 7","SourceRef007","String","","","No","","A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
"Reference 8","SourceRef008","String","","","No","","A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
"Reference 9","SourceRef009","String","","","No","","A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
"Reference 10","SourceRef010","String","","","No","","A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
