Name,METADATA Attribute,Data Type,Key Type,Integration Object Name,Required,Lookup,Description
"Organization Information ID","OrgInformationId","Number","Surrogate ID","OrgInformationEFF","Yes","","The application generated ID to identify this record. You cannot supply this ID for new records."
"Classification Name","ClassificationName","String","User Key","","No","","The name of the organization's classification."
"Context Code","OrgInformationContext","String","User Key","","For new records","","The extensible flexfield context code."
"Organization Name","OrganizationName","String","User Key","","No","","The name of the organization this extensible flexfield record is for."
"Sequence Number","SequenceNumber","Number","User Key","","No","","The sequence number that uniquely identifies the organization information record for the organization and its classification. Specify '1' unless multiple records are to be created."
"Organization ID","OrganizationId","Number","Parent Surrogate ID","Organization","Yes","","A unique reference to the organization this extensible flexfield record is for."
"Effective End Date","EffectiveEndDate","Date","","","No","","The end date of the date-effective changes. If left blank, the effective end date is the end of time by default."
"Effective Start Date","EffectiveStartDate","Date","","","Yes","","The start date of the record or of date-effective changes to the record."
"Classification Code","ClassificationCode","String","Foreign Object Reference","","No","","The code for the organization's classification. Alternatively the ClassificationName can be supplied."
"Legislation Code","LegislationCode","String","","","No","","The legislation code for the flexfield record."
"Organization Unit Classification ID","OrgUnitClassificationId","String","","","No","","Surrogate ID of Org Unit Classification of the Organization whose information this is for."
"Source System ID","SourceSystemId","String","Source Key","","No","","A value to uniquely identify this record. This must be unique for the source system owner and business object component."
"Source System Owner","SourceSystemOwner","String","Source Key","","No","","The name of the source system used to generate the source system ID."
"Globally Unique ID","GUID","String","Globally Unique ID","","No","","The globally unique ID. Only available to reference existing records, it cannot be supplied for new records."
"Reference Context","SourceRefTableName","String","","","No","","The context for the user-defined references provided for this component. Don't supply values for this attribute, instead specify the context against this attribute in the METADATA line using the format: SourceRefTableName= context. For example: SourceRefTableName=Store Information."
"Reference 1","SourceRef001","String","","","No","","A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
"Reference 2","SourceRef002","String","","","No","","A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
"Reference 3","SourceRef003","String","","","No","","A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
"Reference 4","SourceRef004","String","","","No","","A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
"Reference 5","SourceRef005","String","","","No","","A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
"Reference 6","SourceRef006","String","","","No","","A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
"Reference 7","SourceRef007","String","","","No","","A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
"Reference 8","SourceRef008","String","","","No","","A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
"Reference 9","SourceRef009","String","","","No","","A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
"Reference 10","SourceRef010","String","","","No","","A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
